track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5Pkn31exSVgFbfDAH961QC,Hozier,,In the Woods Somewhere,56.0,0,False,0.354,0.426,6.0,0.0,0.0,0.0295,0.782,0.11,0.115,0.185,98.062,3.0,"['irish singer-songwriter', 'modern rock', 'pov: indie']"
38td8VabuKlQt72Q2VnhbO,BTS,,134340,0.0,0,False,0.664,0.688,11.0,0.0,0.0,0.0543,0.153,9.14e-05,0.173,0.65,106.022,4.0,"['k-pop', 'k-pop boy group', 'pop']"
4lXHVnmDO5u62tGJIpTafd,Lana Del Rey,,Million Dollar Man,56.0,0,False,0.382,0.589,6.0,0.0,1.0,0.0359,0.484,0.0,0.131,0.511,65.627,4.0,"['art pop', 'pop']"
5JwLhFNrXw49pn3HQqu02G,Lana Del Rey,,Summer Bummer (feat. A$AP Rocky & Playboi Carti),0.0,0,False,0.761,0.576,1.0,0.0,1.0,0.145,0.018,7.54e-06,0.191,0.13,134.981,4.0,"['art pop', 'pop']"
44V5YKYkMw9vVqnnYTMMIc,Taylor Swift,,Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),43.0,0,False,0.606,0.377,0.0,0.0,1.0,0.0275,0.817,0.0,0.154,0.446,101.96,4.0,['pop']
2VgPA0WnwvE2nbltxa3BHz,BTS,,Silver Spoon,0.0,0,False,0.649,0.875,9.0,0.0,1.0,0.0696,0.00128,0.0,0.0486,0.557,166.927,4.0,"['k-pop', 'k-pop boy group', 'pop']"
4jjaOnFqtAyiYmP7PdTJbO,Stray Kids,,RUN (HAN),56.0,0,False,0.929,0.69,0.0,0.0,1.0,0.238,0.703,0.0,0.117,0.749,120.0,4.0,"['k-pop', 'k-pop boy group', 'pop']"
28dQlavHTyrEkmI7w7Nivp,The Weeknd,,Heartless,45.0,0,False,0.537,0.752,10.0,0.0,0.0,0.132,0.0187,1.36e-06,0.145,0.234,169.97,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
1AVVv4FgNLxQlV64j7dfP1,Sabrina Carpenter,,I Can't Stop Me,50.0,0,False,0.677,0.69,10.0,0.0,0.0,0.0741,0.288,0.0,0.103,0.545,139.995,4.0,['pop']
11cOetC5wVN9gaqBEGS5B4,Taylor Swift,,Teardrops On My Guitar - Radio Single Remix,0.0,0,False,0.621,0.417,10.0,0.0,1.0,0.0231,0.288,0.0,0.119,0.289,99.953,4.0,['pop']
51LmI5GE3tHKISLNZMjDPC,The Weeknd,,The Birds Pt. 2,52.0,0,False,0.296,0.518,9.0,0.0,0.0,0.0489,0.745,3.31e-05,0.462,0.0755,183.672,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
3nef5W8jTkXrOKgCu4kmq7,Ariana Grande,,Dangerous Woman,80.0,0,False,0.662,0.602,4.0,0.0,0.0,0.0401,0.0529,0.0,0.356,0.29,133.969,3.0,['pop']
7mc6gNNKbrCrYGDoVKaVna,Lana Del Rey,,Video Games,35.0,0,False,0.251,0.256,6.0,0.0,0.0,0.0311,0.812,0.0,0.0884,0.168,82.29,5.0,"['art pop', 'pop']"
7s2kWabRM60W9I61HpKg8C,Lorde,,Solar Power,64.0,0,False,0.73,0.483,4.0,0.0,1.0,0.0879,0.237,7.99e-05,0.31,0.883,87.996,4.0,"['art pop', 'metropopolis', 'nz pop', 'pop']"
4Rrj1QxDqsj28gv9SiHQRA,The Weeknd,,Out of Time - KAYTRANADA Remix,47.0,0,False,0.742,0.599,1.0,0.0,1.0,0.297,0.0962,0.000578,0.0981,0.573,108.283,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
5RcLLNStw5qR01c2W5Q92m,Arijit Singh,,Aa Bhi Ja Yaara (feat. Raabta),0.0,0,False,0.514,0.747,4.0,0.0,0.0,0.0558,0.274,0.0,0.712,0.435,128.109,4.0,"['filmi', 'modern bollywood']"
3sqpZ7OpMc0jto8rUXPw4B,Dua Lipa,,Houdini - Danny L Harle Slowride Mix,24.0,0,False,0.703,0.662,8.0,0.0,1.0,0.0321,0.0643,0.182,0.264,0.262,105.993,4.0,"['dance pop', 'pop', 'uk pop']"
2Irr5XfPM6cyoKijHSCrqM,Sabrina Carpenter,,Read your Mind,63.0,0,False,0.659,0.803,1.0,0.0,1.0,0.0446,0.0102,0.0,0.0746,0.62,120.08,4.0,['pop']
6HTwoo4dUOvePNqMsTarPA,TWICE,,Alcohol-Free,0.0,0,False,0.688,0.909,8.0,0.0,1.0,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,4.0,"['k-pop', 'k-pop girl group', 'pop']"
1IxeJLsubGTboNN9K5XNfL,Taylor Swift,,Wildest Dreams (Taylor's Version),52.0,0,False,0.587,0.663,8.0,0.0,1.0,0.0599,0.0354,9.06e-05,0.0902,0.544,139.99,4.0,['pop']
7lSdUlVf8k6kxklKkskb1m,Lana Del Rey,,Heroin,61.0,0,False,0.352,0.41,11.0,0.0,0.0,0.0388,0.556,0.0113,0.114,0.0952,118.721,4.0,"['art pop', 'pop']"
1GDF5AusV7p0wwi4OVNz3i,Harry Styles,,"Two Ghosts - Recorded at Metropolis Studios, London",56.0,0,False,0.535,0.231,6.0,0.0,0.0,0.0311,0.475,0.0,0.102,0.291,133.625,4.0,['pop']
32qFynFqOmxIdgMSIctWqK,Hozier,,Jackie And Wilson - Live,36.0,0,False,0.251,0.796,6.0,0.0,1.0,0.0432,0.203,1.59e-06,0.961,0.729,173.376,3.0,"['irish singer-songwriter', 'modern rock', 'pov: indie']"
71g5YNZv9ysuAZVPuxOmiC,BTS,,Dynamite (Holiday Remix),42.0,0,False,0.676,0.875,4.0,0.0,1.0,0.0769,0.0185,0.0,0.0524,0.595,113.998,4.0,"['k-pop', 'k-pop boy group', 'pop']"
0EJJu2Ag7DqTM8W4o7Vg7q,Lorde,,A World Alone,0.0,0,False,0.358,0.48,1.0,0.0,0.0,0.0428,0.306,0.00163,0.186,0.0653,117.937,4.0,"['art pop', 'metropopolis', 'nz pop', 'pop']"
5XkyZyKMdFungjDb9cUKc3,BTS,,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],0.0,0,False,0.804,0.498,8.0,0.0,0.0,0.0571,0.339,0.000236,0.18,0.704,105.008,4.0,"['k-pop', 'k-pop boy group', 'pop']"
4EjLfjUNonstEf9ZED4gce,Ariana Grande,,Lovin' It,44.0,0,False,0.643,0.81,1.0,0.0,0.0,0.0415,0.114,0.0,0.179,0.411,94.008,4.0,['pop']
6LQzYkmd8ADbKOOEVDnlG4,Ariana Grande,,Only 1,56.0,0,False,0.656,0.842,0.0,0.0,1.0,0.24,0.5,0.0,0.0787,0.384,101.364,4.0,['pop']
1k3PzDNjg38cWqOvL4M9vq,Taylor Swift,,Invisible,55.0,0,False,0.612,0.394,7.0,0.0,1.0,0.0243,0.637,0.0,0.147,0.233,96.001,4.0,['pop']
3yHQKddM8SVCRnuPSo3HPN,BLACKPINK,,BOOMBAYAH,0.0,0,False,0.658,0.836,5.0,0.0,0.0,0.0549,0.00264,1.02e-06,0.507,0.387,124.969,4.0,"['k-pop', 'k-pop girl group', 'pop']"
1BpvuKIG7jK5EiTp2tv5z8,Shubh,,King Shit,78.0,0,False,0.794,0.566,11.0,0.0,0.0,0.0602,0.301,0.000168,0.151,0.68,85.953,4.0,['punjabi hip hop']
1q3RiD1tIWUpGsNFADMlvl,Taylor Swift,,All Too Well,56.0,0,False,0.602,0.609,0.0,0.0,1.0,0.0243,0.0382,0.0002,0.127,0.337,93.06,4.0,['pop']
0QE33jkiMTzCI8momkDmQY,The Weeknd,,Sacrifice (Remix) (feat. Swedish House Mafia),42.0,0,False,0.774,0.742,6.0,0.0,0.0,0.0784,0.0312,5.03e-05,0.0907,0.677,122.028,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2hmafYGj1CXYKIYcMnX4lj,Taylor Swift,,cardigan - cabin in candlelight version,56.0,0,False,0.652,0.237,0.0,0.0,0.0,0.0335,0.9,0.0,0.0991,0.367,129.976,4.0,['pop']
5vjgyZm1Zhtg4RptN4evNQ,The Weeknd,,Love In The Sky,44.0,0,False,0.645,0.736,9.0,0.0,0.0,0.0514,0.16,0.000156,0.6,0.347,115.03,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
5by7gtiDrxe4n2qQQunL8S,Lana Del Rey,,Video Games,53.0,0,False,0.39,0.255,6.0,0.0,0.0,0.0299,0.806,1.14e-06,0.0887,0.179,122.056,4.0,"['art pop', 'pop']"
5OGALUjGm5kCEpejHs6vtA,Taylor Swift,,I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),43.0,0,False,0.403,0.714,0.0,0.0,1.0,0.0488,0.16,0.0,0.179,0.482,149.67,3.0,['pop']
4FKqLfrZNloY0vp8Pxjz6c,The Weeknd,,Pray For Me (with Kendrick Lamar),0.0,0,False,0.73,0.673,2.0,0.0,1.0,0.13,0.0902,2.55e-05,0.104,0.161,100.534,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
35TujHR7wzBFeZNRcx2r4q,Taylor Swift,,Christmas Must Be Something More,0.0,0,False,0.679,0.8,7.0,0.0,1.0,0.0402,0.362,0.0,0.0928,0.559,122.822,4.0,['pop']
4wSWZjWH7a5eVxskGxO13w,Arctic Monkeys,,The View From The Afternoon,0.0,0,False,0.387,0.922,9.0,0.0,0.0,0.0674,0.00487,0.0,0.187,0.417,146.478,4.0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
44hoFQSNqQKKFPxKCCMoZ3,Hozier,,Who We Are,55.0,0,False,0.436,0.384,2.0,0.0,1.0,0.0263,0.0855,0.00128,0.0788,0.1,158.073,4.0,"['irish singer-songwriter', 'modern rock', 'pov: indie']"
1SySkCqhEG6Z68o2n07Bsr,The Weeknd,,In Your Eyes (feat. Kenny G) - Remix,48.0,0,False,0.606,0.786,7.0,0.0,0.0,0.0366,0.00229,9.46e-05,0.0725,0.525,99.969,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
1bB8idvcjJPUf1QBISrETz,BTS,,"We Are Bulletproof, Pt. 2",0.0,0,False,0.752,0.954,8.0,0.0,0.0,0.145,0.00828,2.29e-06,0.165,0.879,144.059,4.0,"['k-pop', 'k-pop boy group', 'pop']"
2R7C9dDqv1UPycvepBFziA,Taylor Swift,,Superman,41.0,0,False,0.582,0.765,7.0,0.0,1.0,0.0324,0.0268,1.95e-06,0.103,0.559,131.982,4.0,['pop']
3vJcz8exedHCjQ9ed95NqU,The Weeknd,,Every Angel is Terrifying,53.0,0,False,0.447,0.959,0.0,0.0,1.0,0.348,0.109,2.75e-05,0.0498,0.46,118.167,4.0,"['canadian contemporary r&b', 'canadian pop', 'pop']"
0jdbVCxHze7xkrdyac3Ksn,Lorde,,The Path,0.0,0,False,0.611,0.597,5.0,0.0,1.0,0.0463,0.436,0.0,0.105,0.0984,92.021,4.0,"['art pop', 'metropopolis', 'nz pop', 'pop']"
2jjh53eV2QVGIRjGTawheD,BLACKPINK,,WHISTLE - Acoustic Ver. Japanese Version,34.0,0,False,0.838,0.449,1.0,0.0,0.0,0.0431,0.788,0.0,0.0947,0.618,102.938,4.0,"['k-pop', 'k-pop girl group', 'pop']"
