track_id,genres,track_artists,tempo,energy,key,popularity,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,name
1P17dC1amhFzptugyAO7Il,['pop'],Taylor Swift,128.07,0.709,9.0,83.0,0.0,4.0,0.123,0.766,0.506,0.204,0.126,1.41e-05,Look What You Made Me Do
4B1rpPmQXwj78wk6aIGwwU,['pop'],Harry Styles,69.387,0.407,6.0,67.0,0.0,4.0,0.0268,0.386,0.456,0.234,0.0999,1.86e-06,Two Ghosts
6sGaavvDeGTY3wV9hzIEOP,"['art pop', 'pop']",Lana Del Rey,189.767,0.725,8.0,54.0,0.0,4.0,0.0656,0.352,0.339,0.00193,0.22,2.73e-06,Gods & Monsters
6QqUgSjdtWhqsEdz72XhCD,"['brooklyn indie', 'pov: indie']",Mitski,203.981,0.691,11.0,61.0,1.0,4.0,0.0345,0.313,0.595,0.000508,0.185,0.423,Remember My Name
6pOJF93bhb1bTQvOXxE46u,"['dance pop', 'pop', 'uk pop']",Dua Lipa,95.055,0.794,2.0,42.0,0.0,4.0,0.0655,0.615,0.649,0.308,0.277,6.01e-05,CAN THEY HEAR US (From ‘Gully' with original Daniel Heath Score)
6iiAfo4wTA2CVC3Uwx9uh8,['pop'],Taylor Swift,133.873,0.444,6.0,66.0,1.0,4.0,0.0285,0.506,0.241,0.0538,0.123,0.0,You're Not Sorry (Taylor's Version)
1FEiijYPJtyswChfcpv3p0,"['art pop', 'pop']",Lana Del Rey,111.945,0.646,1.0,63.0,0.0,4.0,0.0332,0.568,0.211,0.0464,0.121,0.0,Summertime Sadness
7IpDQcksaT8SxS7vOX4SRm,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,133.895,0.405,0.0,64.0,0.0,4.0,0.0584,0.657,0.0673,0.525,0.146,0.072,What You Need
7wIYDzWW82O6Rc4vGuzjND,"['dance pop', 'pop', 'uk pop']",Dua Lipa,176.036,0.265,5.0,61.0,1.0,4.0,0.0491,0.455,0.324,0.861,0.685,0.0,"I'm Not the Only One - Live from Spotify, London"
69UqtTHfUKAJweQwEStRzC,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",Cigarettes After Sex,75.302,0.477,9.0,6.0,0.0,4.0,0.029,0.412,0.141,0.0542,0.0975,0.798,Sunsetz
0or0gNaKAXYYCsOrpvRzAu,"['art pop', 'metropopolis', 'nz pop', 'pop']",Lorde,76.715,0.218,10.0,0.0,0.0,4.0,0.111,0.534,0.345,0.923,0.0944,0.0,Liability
4agPFCccTh7gIho2sNhsJp,['pop'],Olivia Rodrigo,169.023,0.202,2.0,52.0,1.0,4.0,0.0995,0.472,0.445,0.938,0.126,0.0,"1 step forward, 3 steps back"
7AEAGTc8cReDqcbPoY9gwo,['pop'],Taylor Swift,85.984,0.676,7.0,57.0,1.0,4.0,0.0916,0.628,0.75,0.00957,0.102,2.65e-05,We Are Never Ever Getting Back Together
13wNEvWmBsWaWVtiLPRIW5,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,184.131,0.716,5.0,0.0,0.0,4.0,0.167,0.484,0.365,0.3,0.112,0.00214,Hurt You
6x5yiC9qgFIO0XPekWdjF1,"['brooklyn indie', 'pov: indie']",Mitski,119.186,0.181,8.0,59.0,0.0,3.0,0.0366,0.297,0.0698,0.957,0.0841,0.000288,Shame
6kkdPUBJurHTLjaweUWeqz,"['k-pop', 'k-pop girl group', 'pop']",TWICE,104.977,0.655,5.0,0.0,1.0,4.0,0.0248,0.72,0.468,0.383,0.156,0.0,The Best Thing I Ever Did
0wavGRldH0AWyu2zvTz8zb,['pop'],Taylor Swift,176.655,0.156,0.0,72.0,1.0,4.0,0.0518,0.337,0.39,0.964,0.115,7.72e-05,Sweet Nothing
4bXCcoesMt8u99xMsbLr9U,['pop'],Taylor Swift,103.97,0.377,4.0,54.0,1.0,4.0,0.0346,0.815,0.211,0.232,0.1,0.0,Clean
2Tz4JnXZOcjcp8fWfMjBBk,['pop'],Taylor Swift,94.069,0.443,2.0,48.0,1.0,4.0,0.0276,0.505,0.123,0.035,0.0906,3.15e-06,The Last Time
3FvDYk5IC5Um84kK5FbJGR,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,114.96,0.793,11.0,45.0,0.0,4.0,0.0691,0.642,0.623,0.159,0.305,0.000557,Adaptation
3yNJkriPzWjkkDAWHIAVUq,['pop'],Taylor Swift,159.813,0.488,0.0,68.0,1.0,4.0,0.0278,0.535,0.348,0.449,0.111,0.0,Ours (Taylor's Version)
0IiQ3gvsK7OTYoDvBUKukm,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys,115.752,0.657,9.0,0.0,0.0,4.0,0.0295,0.415,0.69,0.052,0.233,0.0552,My Propeller
5VJETUjJ7y46bAz4min5IB,['pop'],Olivia Rodrigo,137.466,0.559,5.0,65.0,1.0,4.0,0.0557,0.474,0.318,0.165,0.186,0.0,vampire
7MXgrcOQAJ5VwSNUL0lDd3,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,170.903,0.694,5.0,55.0,0.0,4.0,0.0618,0.49,0.249,0.0133,0.0946,4.62e-05,Blinding Lights (with ROSALÍA) - Remix
3DNziCcqRd2v8uQWwec1GW,['pop'],Sabrina Carpenter,119.957,0.755,7.0,32.0,1.0,4.0,0.101,0.684,0.237,0.00852,0.334,0.0,Skin - Quarterhead Remix
2ls70nUDfjzm1lSRDuKxmw,['pop'],Taylor Swift,96.009,0.678,5.0,62.0,1.0,4.0,0.0646,0.752,0.583,0.085,0.13,1.64e-06,Blank Space
5J5w61c4TVxVwU78KdDGdx,['pop'],Taylor Swift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Style
5OndtwLGA9O6XHFcGm2H7r,['pop'],Taylor Swift,91.991,0.842,7.0,57.0,1.0,4.0,0.0373,0.552,0.343,0.00103,0.337,1.17e-05,Out Of The Woods
11j9B5N8LJoxXQPRpjae9R,['pop'],Taylor Swift,199.909,0.742,10.0,31.0,1.0,4.0,0.0539,0.464,0.485,0.0456,0.0755,0.0,Teardrops On My Guitar - Pop Version
